[ 0  , 1  , 1  , 0  , 0  ]                                 ( 1 - 2a  )
[ 0  , -1  , 1  , 0  , 0  ]                                ( 11  )
[ 0  , -1  , 1  , -10  , -20  ]                            ( 11  )
[ 0  , -1  , 1  , -7820  , -263580  ]                      ( 11  )
[ 1 + a  , 0  , 1  , -1 - a  , 0  ]                        ( 8 + 2a  )
[ 1 + a  , 0  , 1  , 4 + 4a  , -50 - 4a  ]                 ( 8 + 2a  )
[ 1 + a  , 0  , 1  , 104 - 16a  , -258 - 84a  ]            ( 8 + 2a  )
[ 0  , -a  , 1 + a  , -2  , 1 - a  ]                       ( 13 + a  )
[ 1  , 0  , 1  , -1  , 0  ]                                ( 14  )
[ 1  , 0  , 1  , -11  , 12  ]                              ( 14  )
[ 1  , 0  , 1  , 4  , -6  ]                                ( 14  )
[ 1  , 0  , 1  , -36  , -70  ]                             ( 14  )
[ 1  , 0  , 1  , -171  , -874  ]                           ( 14  )
[ 1  , 0  , 1  , -2731  , -55146  ]                        ( 14  )
[ 1  , 1  , 1  , 0  , 0  ]                                 ( 15  )
[ 1  , 1  , 1  , -5  , 2  ]                                ( 15  )
[ 1  , 1  , 1  , -80  , 242  ]                             ( 15  )
[ 1  , 1  , 1  , -10  , -10  ]                             ( 15  )
[ 1  , 1  , 1  , -135  , -660  ]                           ( 15  )
[ 1  , 1  , 1  , 35  , -28  ]                              ( 15  )
[ 1  , 1  , 1  , -2160  , -39540  ]                        ( 15  )
[ 1  , 1  , 1  , -110  , -880  ]                           ( 15  )
